Date,City,State,Total Buildings,Buildings w/ Incomplete Data,Scored Buildings (Complete Data),Low Scoring,Med-Low Scoring,Med-High Scoring,High Scoring,Low Cutoff,Med-Low Cutoff,Med-High Cutoff,High Cutoff,Score Based On
2014-12-04 22:03:17.825214,Bloomington,IN,6576,73,107,33,43,19,12,700.630624987,1030.8908796,1361.15113422,1691.41138884,sqft
2014-12-04 22:03:24.458197,Ann Arbor,MI,8822,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:24.845056,Albany,NY,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:25.187785,Iowa City,IA,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:25.540539,Burlington,VT,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:25.862330,Austin,TX,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:34.255347,Columbia,MO,11403,1,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:34.643752,Madison,WI,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:34.967969,Lawrence,KS,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:35.297264,Berkeley,CA,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:37.045839,Evanston,IL,2402,1,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:37.380036,Fayetteville,AR,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:37.706139,Dearborn,MI,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:38.044855,Oklahoma City,OK,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
2014-12-04 22:03:38.366566,Mercer Island,WA,0,0,0,0,0,0,0,67500000,45000000,22500000,0,sqft
